gcLogFile; 21gc.log; -
totalHeapAllocMax; 30,487.062; M
totalHeapUsedMax; 23,388.804; M
totalHeapUsedMaxpc; 76.7; %
totalTenuredAllocMax; 28,390.438; M
totalTenuredUsedMax; 21,362.273; M
totalTenuredUsedMaxpc; 75.2; %
totalYoungAllocMax; 2,096.625; M
totalYoungUsedMax; 2,096.625; M
totalYoungUsedMaxpc; 100.0; %
totalPermAllocMax; n/a; M
totalPermUsedMax; n/a; M
totalPermUsedMaxpc; n/a; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC考; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
avgfootprintAfterGC; 9,446.415; M
avgfootprintAfterGC考; 4,409.779; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; n.a.; M/s
avgRelativePostGCInc; n.a.; M/coll
freedMemoryByGC; 11,935,877.068; M
freedMemoryByGCpc; 100.0; %
avgFreedMemoryByGC; 1,858.303; M/coll
avgFreedMemoryByGC考; 50.101; M/coll
avgFreedMemoryByGCisSig; true; bool
avgPromotion; 4,323.591; K
promotionTotal; 27,102.667; M
pauseCount; 16834; -
avgPauseIsSig; false; bool
avgPause; 0.01853; s
avgPause考; 0.03019; s
minPause; 0.00008; s
maxPause; 1.96511; s
gcPauseCount; 6423; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.04509; s
avgGCPause考; 0.03515; s
avgFullGCPause; n.a.; s
accumPause; 311.96; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 289.62; s
gcPausePc; 92.8; %
footprint; 30,487.062; M
freedMemory; 11,935,877.068; M
throughput; 97.53; %
totalTime; 12626; s
freedMemoryPerMin; 56,717.48; M/min
gcPerformance; 41,211.97; M/s
fullGCPerformance; n.a.; M/s
